date,open,low,high,close,volume
2025-07-07 09:30:00,623.35,622.88,623.98,623.22,2668534
2025-07-07 09:35:00,623.23,623.07,623.63,623.34,719748
2025-07-07 09:40:00,623.3,623.18,623.66,623.46,757348
2025-07-07 09:45:00,623.46,623.07,623.55,623.5,619844
2025-07-07 09:50:00,623.52,623.43,624.03,623.85,695782
2025-07-07 09:55:00,623.84,623.61,623.97,623.66,450288
2025-07-07 10:00:00,623.62,622.72,623.79,623.09,812998
2025-07-07 10:05:00,623.09,623.0,623.35,623.11,432338
2025-07-07 10:10:00,623.13,622.73,623.25,622.76,656217
2025-07-07 10:15:00,622.75,622.53,623.05,622.95,510035
2025-07-07 10:20:00,622.97,622.88,623.22,623.16,428663
2025-07-07 10:25:00,623.18,622.91,623.42,623.05,654349
2025-07-07 10:30:00,623.04,622.59,623.1,622.59,647524
2025-07-07 10:35:00,622.57,622.52,622.83,622.71,524349
2025-07-07 10:40:00,622.71,622.6,622.91,622.66,429623
2025-07-07 10:45:00,622.67,622.56,622.93,622.71,487315
2025-07-07 10:50:00,622.7,621.96,622.8,622.28,913748
2025-07-07 10:55:00,622.27,621.96,622.41,622.16,563471
2025-07-07 11:00:00,622.16,621.91,622.39,622.09,747043
2025-07-07 11:05:00,622.11,621.9,622.15,622.06,450476
2025-07-07 11:10:00,622.04,621.87,622.13,621.94,570989
2025-07-07 11:15:00,621.93,621.66,622.1,621.73,598995
2025-07-07 11:20:00,621.72,621.57,621.96,621.85,495686
2025-07-07 11:25:00,621.84,621.78,622.12,622.07,419957
2025-07-07 11:30:00,622.06,621.88,622.21,621.95,495042
2025-07-07 11:35:00,621.92,621.83,622.04,621.93,252898
2025-07-07 11:40:00,621.94,621.61,621.97,621.64,308271
2025-07-07 11:45:00,621.62,621.22,621.73,621.41,578205
2025-07-07 11:50:00,621.4,621.18,621.5,621.4,0
2025-07-07 11:55:00,621.41,621.39,621.93,621.74,641898
2025-07-07 12:00:00,621.75,621.75,622.27,622.14,572180
2025-07-07 12:05:00,622.14,622.08,622.29,622.17,303902
2025-07-07 12:10:00,622.14,621.78,622.19,622.0,281230
2025-07-07 12:15:00,622.0,620.77,622.23,621.23,1286133
2025-07-07 12:20:00,621.21,619.24,621.41,620.23,4209755
2025-07-07 12:25:00,620.21,619.66,620.77,620.58,1989868
2025-07-07 12:30:00,620.73,620.51,621.15,621.02,1068814
2025-07-07 12:35:00,621.05,620.48,621.23,620.7,831378
2025-07-07 12:40:00,620.71,620.17,620.94,620.42,767008
2025-07-07 12:45:00,620.43,619.92,620.55,620.08,695040
2025-07-07 12:50:00,620.07,619.6,620.22,619.67,667885
2025-07-07 12:55:00,619.68,619.48,620.07,619.8,654153
2025-07-07 13:00:00,619.78,619.61,620.22,619.69,764945
2025-07-07 13:05:00,619.69,619.59,620.19,620.13,400511
2025-07-07 13:10:00,620.14,620.1,620.58,620.58,577176
2025-07-07 13:15:00,620.55,620.37,620.82,620.81,423921
2025-07-07 13:20:00,620.81,620.5,621.02,620.53,501635
2025-07-07 13:25:00,620.55,620.02,620.55,620.19,416702
2025-07-07 13:30:00,620.16,620.02,621.41,620.29,2294315
2025-07-07 13:35:00,620.33,619.74,620.36,619.99,783201
2025-07-07 13:40:00,620.03,619.56,620.27,619.89,958319
2025-07-07 13:45:00,619.88,619.68,620.16,620.05,480798
2025-07-07 13:50:00,620.02,619.71,620.13,619.89,511640
2025-07-07 13:55:00,619.84,619.84,620.2,620.05,260500
2025-07-07 14:00:00,620.04,619.97,620.36,620.21,438825
2025-07-07 14:05:00,620.23,620.03,620.37,620.31,333007
2025-07-07 14:10:00,620.32,619.9,620.35,619.97,668349
2025-07-07 14:15:00,619.95,618.57,619.99,618.7,1392950
2025-07-07 14:20:00,618.68,617.94,618.86,618.59,1742879
2025-07-07 14:25:00,618.62,617.88,618.86,617.99,995784
2025-07-07 14:30:00,617.99,617.87,618.46,618.45,1103778
2025-07-07 14:35:00,618.45,618.36,619.0,618.86,1135996
2025-07-07 14:40:00,618.86,618.84,619.59,619.48,667571
2025-07-07 14:45:00,619.47,619.38,619.71,619.67,549608
2025-07-07 14:50:00,619.67,619.6,619.87,619.79,1204161
2025-07-07 14:55:00,619.79,619.79,620.22,620.16,606276
2025-07-07 15:00:00,620.27,619.82,620.39,619.85,823216
2025-07-07 15:05:00,619.83,619.38,619.87,619.5,810858
2025-07-07 15:10:00,619.5,619.42,619.9,619.7,831980
2025-07-07 15:15:00,619.83,619.65,619.94,619.82,569804
2025-07-07 15:20:00,619.83,619.56,619.91,619.57,819163
2025-07-07 15:25:00,619.58,619.44,619.75,619.46,602916
2025-07-07 15:30:00,619.47,619.45,619.84,619.71,758935
2025-07-07 15:35:00,619.72,619.52,619.82,619.58,575859
2025-07-07 15:40:00,619.58,619.39,619.73,619.67,1003644
2025-07-07 15:45:00,619.69,619.45,619.83,619.78,1463641
2025-07-07 15:50:00,620.22,619.8,620.47,620.28,2769670
2025-07-07 15:55:00,620.26,620.17,621.0,620.78,5537643
2025-07-08 09:30:00,621.08,620.61,621.47,620.61,1890819
2025-07-08 09:35:00,620.68,620.55,620.95,620.68,725097
2025-07-08 09:40:00,620.66,620.58,621.29,621.09,812511
2025-07-08 09:45:00,621.08,621.03,621.66,621.38,865645
2025-07-08 09:50:00,621.3,621.08,621.52,621.34,770769
2025-07-08 09:55:00,621.34,620.66,621.41,620.66,696302
2025-07-08 10:00:00,620.68,620.23,620.93,620.53,801252
2025-07-08 10:05:00,620.54,619.92,620.55,620.2,933567
2025-07-08 10:10:00,620.21,620.03,620.5,620.32,530875
2025-07-08 10:15:00,620.32,620.2,620.67,620.28,521280
2025-07-08 10:20:00,620.35,619.72,620.37,619.74,585103
2025-07-08 10:25:00,619.72,619.64,620.1,620.01,582437
2025-07-08 10:30:00,620.03,620.01,621.16,621.15,964817
2025-07-08 10:35:00,621.05,620.99,621.49,621.34,868834
2025-07-08 10:40:00,621.39,620.83,621.49,621.07,671057
2025-07-08 10:45:00,621.08,620.17,621.09,620.57,1371244
2025-07-08 10:50:00,620.54,619.75,620.8,619.93,991051
2025-07-08 10:55:00,619.58,619.52,620.43,620.43,722018
2025-07-08 11:00:00,620.43,620.23,620.72,620.55,557789
2025-07-08 11:05:00,620.51,620.5,620.96,620.85,632166
2025-07-08 11:10:00,620.86,620.68,621.1,620.74,615086
2025-07-08 11:15:00,620.75,620.45,620.89,620.49,507295
2025-07-08 11:20:00,620.5,619.89,620.63,619.94,623893
2025-07-08 11:25:00,619.95,619.72,620.29,619.96,520434
2025-07-08 11:30:00,619.98,619.98,620.38,620.26,518229
2025-07-08 11:35:00,620.23,620.18,620.61,620.57,411662
2025-07-08 11:40:00,620.56,620.43,620.65,620.55,437407
2025-07-08 11:45:00,620.55,620.53,620.97,620.93,616357
2025-07-08 11:50:00,620.92,620.84,621.11,620.97,461841
2025-07-08 11:55:00,620.96,620.87,621.22,621.07,681496
2025-07-08 12:00:00,621.06,620.96,621.21,620.97,459677
2025-07-08 12:05:00,620.96,620.52,620.98,620.63,609849
2025-07-08 12:10:00,620.63,620.59,621.01,620.93,847910
2025-07-08 12:15:00,620.95,620.8,621.17,621.06,328329
2025-07-08 12:20:00,621.06,621.0,621.61,621.6,843681
2025-07-08 12:25:00,621.72,621.6,622.11,621.88,916041
2025-07-08 12:30:00,621.89,621.17,622.05,621.35,1686641
2025-07-08 12:35:00,621.34,620.4,621.45,621.19,1169844
2025-07-08 12:40:00,621.21,620.92,621.42,621.24,457136
2025-07-08 12:45:00,621.23,620.99,621.34,621.15,327445
2025-07-08 12:50:00,621.21,620.9,621.26,621.17,303423
2025-07-08 12:55:00,621.15,620.72,621.27,620.8,823822
2025-07-08 13:00:00,620.68,620.53,620.95,620.74,361408
2025-07-08 13:05:00,620.71,620.32,620.75,620.38,642649
2025-07-08 13:10:00,620.36,620.29,620.85,620.69,567647
2025-07-08 13:15:00,620.68,619.84,620.72,620.28,754041
2025-07-08 13:20:00,620.3,619.97,620.68,620.64,831780
2025-07-08 13:25:00,620.52,620.51,620.88,620.84,770708
2025-07-08 13:30:00,620.83,620.23,621.12,620.3,604225
2025-07-08 13:35:00,620.28,620.26,620.52,620.39,771041
2025-07-08 13:40:00,620.4,620.2,620.52,620.4,402956
2025-07-08 13:45:00,620.42,620.35,620.67,620.53,278635
2025-07-08 13:50:00,620.54,620.41,621.17,621.11,404789
2025-07-08 13:55:00,621.12,621.0,621.31,621.17,397131
2025-07-08 14:00:00,621.15,620.89,621.17,621.03,507112
2025-07-08 14:05:00,621.15,620.96,621.2,621.1,484364
2025-07-08 14:10:00,621.12,621.08,621.3,621.14,374875
2025-07-08 14:15:00,621.15,621.08,621.25,621.12,317855
2025-07-08 14:20:00,620.98,620.7,621.06,620.91,469913
2025-07-08 14:25:00,620.83,620.61,620.94,620.65,401394
2025-07-08 14:30:00,620.66,620.32,620.72,620.54,664062
2025-07-08 14:35:00,620.53,620.46,620.89,620.89,400345
2025-07-08 14:40:00,620.88,620.39,620.92,620.4,558175
2025-07-08 14:45:00,620.39,620.3,620.6,620.54,398406
2025-07-08 14:50:00,620.57,620.42,620.68,620.61,274577
2025-07-08 14:55:00,620.61,620.47,620.72,620.52,349069
2025-07-08 15:00:00,620.52,620.39,620.64,620.51,403475
2025-07-08 15:05:00,620.5,620.33,620.61,620.36,751163
2025-07-08 15:10:00,620.35,620.09,620.41,620.28,509840
2025-07-08 15:15:00,620.28,620.18,620.41,620.38,514020
2025-07-08 15:20:00,620.38,620.14,620.55,620.21,578657
2025-07-08 15:25:00,620.21,620.16,620.59,620.51,718356
2025-07-08 15:30:00,620.51,620.34,620.55,620.42,616957
2025-07-08 15:35:00,620.42,620.2,620.47,620.23,580488
2025-07-08 15:40:00,620.23,620.04,620.34,620.16,682626
2025-07-08 15:45:00,620.15,620.11,620.64,620.62,1233348
2025-07-08 15:50:00,620.62,620.07,620.81,620.29,2487587
2025-07-08 15:55:00,620.3,620.2,620.58,620.31,4073061
2025-07-09 09:30:00,622.77,622.65,623.6,623.51,2264383
2025-07-09 09:35:00,623.54,623.39,623.88,623.83,1005417
2025-07-09 09:40:00,623.84,623.71,624.18,624.06,1018301
2025-07-09 09:45:00,624.06,624.06,624.55,624.53,1226620
2025-07-09 09:50:00,624.53,624.34,624.72,624.44,1044709
2025-07-09 09:55:00,624.44,624.11,624.47,624.24,858687
2025-07-09 10:00:00,624.23,624.02,624.53,624.03,763576
2025-07-09 10:05:00,624.03,623.87,624.35,624.19,670184
2025-07-09 10:10:00,624.22,623.97,624.41,624.19,588915
2025-07-09 10:15:00,624.19,623.97,624.28,623.98,665891
2025-07-09 10:20:00,623.99,623.88,624.12,623.95,511607
2025-07-09 10:25:00,623.95,623.15,624.08,623.38,888968
2025-07-09 10:30:00,623.38,622.22,623.38,622.55,1982840
2025-07-09 10:35:00,622.56,621.85,622.7,622.57,1248365
2025-07-09 10:40:00,622.58,621.91,622.64,622.06,931620
2025-07-09 10:45:00,622.04,621.71,622.51,621.94,1182214
2025-07-09 10:50:00,621.92,621.33,621.92,621.54,1115231
2025-07-09 10:55:00,621.56,621.06,621.62,621.44,993028
2025-07-09 11:00:00,621.43,621.2,622.01,621.94,1138454
2025-07-09 11:05:00,621.94,621.4,622.0,621.7,710466
2025-07-09 11:10:00,621.69,621.13,621.75,621.31,696648
2025-07-09 11:15:00,621.32,620.92,621.45,621.37,853897
2025-07-09 11:20:00,621.38,621.38,621.8,621.8,628439
2025-07-09 11:25:00,621.78,621.78,622.32,622.1,757597
2025-07-09 11:30:00,622.1,621.9,622.26,622.12,575275
2025-07-09 11:35:00,622.12,621.31,622.22,622.06,1257237
2025-07-09 11:40:00,622.06,622.02,622.37,622.33,790728
2025-07-09 11:45:00,622.33,622.26,622.54,622.31,549527
2025-07-09 11:50:00,622.3,621.73,622.35,621.78,599259
2025-07-09 11:55:00,621.77,621.68,622.18,621.93,405355
2025-07-09 12:00:00,621.92,621.88,622.41,622.21,464386
2025-07-09 12:05:00,622.21,621.94,622.3,622.08,382989
2025-07-09 12:10:00,622.09,621.55,622.2,621.91,586992
2025-07-09 12:15:00,621.9,621.86,622.18,622.12,431289
2025-07-09 12:20:00,622.13,621.61,622.16,621.74,476459
2025-07-09 12:25:00,621.75,621.64,621.94,621.8,324045
2025-07-09 12:30:00,621.8,621.8,622.09,621.95,298386
2025-07-09 12:35:00,621.93,621.78,622.15,621.78,367614
2025-07-09 12:40:00,621.78,621.73,622.07,622.01,347671
2025-07-09 12:45:00,622.0,621.93,622.24,622.16,339986
2025-07-09 12:50:00,622.17,622.08,622.35,622.35,844178
2025-07-09 12:55:00,622.34,622.02,622.36,622.02,270683
2025-07-09 13:00:00,622.01,621.62,622.13,621.9,370711
2025-07-09 13:05:00,621.91,621.87,622.43,622.26,492976
2025-07-09 13:10:00,622.25,622.08,622.34,622.14,404631
2025-07-09 13:15:00,622.12,622.04,622.59,622.53,506004
2025-07-09 13:20:00,622.53,622.36,622.63,622.58,586861
2025-07-09 13:25:00,622.6,622.13,622.68,622.33,495780
2025-07-09 13:30:00,622.32,622.05,622.42,622.22,450694
2025-07-09 13:35:00,622.26,622.24,622.54,622.53,292678
2025-07-09 13:40:00,622.53,622.27,622.62,622.37,339756
2025-07-09 13:45:00,622.36,622.11,622.58,622.5,566668
2025-07-09 13:50:00,622.5,622.2,622.79,622.43,851785
2025-07-09 13:55:00,622.42,622.24,622.59,622.46,502100
2025-07-09 14:00:00,622.43,622.41,622.84,622.81,700483
2025-07-09 14:05:00,622.81,622.79,623.31,623.03,948783
2025-07-09 14:10:00,623.01,622.92,623.28,623.12,739806
2025-07-09 14:15:00,623.12,622.79,623.17,622.98,563417
2025-07-09 14:20:00,622.97,622.74,623.13,623.02,405388
2025-07-09 14:25:00,623.01,622.79,623.09,622.85,403131
2025-07-09 14:30:00,622.87,622.85,623.11,622.94,528782
2025-07-09 14:35:00,622.95,622.91,623.21,623.1,605251
2025-07-09 14:40:00,623.11,622.82,623.13,622.97,459250
2025-07-09 14:45:00,622.96,622.93,623.09,623.03,488372
2025-07-09 14:50:00,623.03,622.96,623.34,623.26,479129
2025-07-09 14:55:00,623.26,623.24,623.57,623.4,613294
2025-07-09 15:00:00,623.41,623.34,623.53,623.43,501342
2025-07-09 15:05:00,623.43,623.15,623.45,623.15,591832
2025-07-09 15:10:00,623.17,623.1,623.3,623.18,592166
2025-07-09 15:15:00,623.19,623.17,623.48,623.48,813804
2025-07-09 15:20:00,623.47,623.46,623.77,623.57,1307021
2025-07-09 15:25:00,623.57,623.53,623.71,623.6,723650
2025-07-09 15:30:00,623.58,623.41,623.65,623.61,1040674
2025-07-09 15:35:00,623.62,623.54,623.81,623.73,764468
2025-07-09 15:40:00,623.74,623.54,623.76,623.73,894902
2025-07-09 15:45:00,623.73,623.62,623.88,623.87,922999
2025-07-09 15:50:00,623.87,623.52,624.01,623.83,1771202
2025-07-09 15:55:00,623.84,623.82,624.21,624.01,3848893
2025-07-10 09:30:00,624.26,623.67,624.28,623.83,2194532
2025-07-10 09:35:00,623.84,623.63,623.97,623.75,620810
2025-07-10 09:40:00,623.75,623.52,623.89,623.84,748202
2025-07-10 09:45:00,623.84,623.45,624.07,623.55,1060144
2025-07-10 09:50:00,623.54,623.28,623.83,623.49,1299808
2025-07-10 09:55:00,623.48,623.12,623.72,623.4,1044747
2025-07-10 10:00:00,623.4,623.01,623.48,623.18,1022770
2025-07-10 10:05:00,623.2,623.03,623.46,623.44,701555
2025-07-10 10:10:00,623.51,623.49,623.79,623.73,1149728
2025-07-10 10:15:00,623.74,623.73,624.26,624.11,770713
2025-07-10 10:20:00,624.12,623.71,624.18,623.74,915524
2025-07-10 10:25:00,623.34,623.31,623.74,623.73,903984
2025-07-10 10:30:00,623.77,623.74,624.18,624.03,679198
2025-07-10 10:35:00,624.04,623.97,624.47,624.38,607270
2025-07-10 10:40:00,624.38,624.3,624.86,624.82,1050762
2025-07-10 10:45:00,624.69,624.58,624.98,624.83,588108
2025-07-10 10:50:00,624.8,624.8,625.1,624.96,683844
2025-07-10 10:55:00,624.97,624.68,625.04,624.86,437012
2025-07-10 11:00:00,624.86,624.83,625.19,625.16,895642
2025-07-10 11:05:00,625.16,625.12,625.32,625.21,632343
2025-07-10 11:10:00,625.21,624.89,625.26,625.09,1303245
2025-07-10 11:15:00,625.1,625.09,625.41,625.22,510479
2025-07-10 11:20:00,625.22,624.98,625.28,625.28,464931
2025-07-10 11:25:00,625.27,625.22,625.58,625.52,683024
2025-07-10 11:30:00,625.52,625.37,625.69,625.43,454738
2025-07-10 11:35:00,625.43,625.4,625.64,625.59,537793
2025-07-10 11:40:00,625.58,625.45,625.76,625.73,367607
2025-07-10 11:45:00,625.74,625.59,625.78,625.65,448257
2025-07-10 11:50:00,625.69,625.54,625.72,625.65,286230
2025-07-10 11:55:00,625.64,625.54,625.73,625.7,306142
2025-07-10 12:00:00,625.7,625.48,625.78,625.64,447521
2025-07-10 12:05:00,625.64,625.45,625.7,625.47,330933
2025-07-10 12:10:00,625.47,625.11,625.51,625.22,658281
2025-07-10 12:15:00,625.22,625.03,625.31,625.24,510434
2025-07-10 12:20:00,625.24,625.07,625.43,625.41,503339
2025-07-10 12:25:00,625.41,625.39,625.62,625.57,374932
2025-07-10 12:30:00,625.57,625.42,625.71,625.45,400867
2025-07-10 12:35:00,625.46,625.24,625.58,625.58,357577
2025-07-10 12:40:00,625.57,625.54,625.78,625.68,378508
2025-07-10 12:45:00,625.69,625.45,625.7,625.49,275861
2025-07-10 12:50:00,625.48,625.48,625.65,625.61,257377
2025-07-10 12:55:00,625.6,625.52,625.71,625.54,467106
2025-07-10 13:00:00,625.54,625.53,625.88,625.8,366534
2025-07-10 13:05:00,625.8,625.78,625.97,625.86,306612
2025-07-10 13:10:00,625.84,625.84,626.1,625.92,427442
2025-07-10 13:15:00,625.93,625.79,626.07,626.07,469895
2025-07-10 13:20:00,626.07,625.95,626.21,626.16,455075
2025-07-10 13:25:00,626.15,626.09,626.23,626.1,422374
2025-07-10 13:30:00,626.09,626.08,626.4,626.38,572250
2025-07-10 13:35:00,626.37,626.26,626.45,626.29,551212
2025-07-10 13:40:00,626.29,626.26,626.45,626.37,448388
2025-07-10 13:45:00,626.38,626.19,626.41,626.33,393531
2025-07-10 13:50:00,626.33,626.33,626.77,626.73,563585
2025-07-10 13:55:00,626.74,626.53,626.77,626.59,604723
2025-07-10 14:00:00,626.58,626.45,626.71,626.58,581566
2025-07-10 14:05:00,626.58,626.57,626.77,626.63,435723
2025-07-10 14:10:00,626.63,626.57,626.7,626.62,328124
2025-07-10 14:15:00,626.61,626.58,626.84,626.77,356535
2025-07-10 14:20:00,626.78,626.69,626.87,626.71,535912
2025-07-10 14:25:00,626.7,626.59,626.78,626.59,419435
2025-07-10 14:30:00,626.59,626.38,626.67,626.41,493828
2025-07-10 14:35:00,626.41,626.34,626.48,626.39,420150
2025-07-10 14:40:00,626.5,626.32,626.52,626.34,376956
2025-07-10 14:45:00,626.28,626.25,626.46,626.31,402721
2025-07-10 14:50:00,626.32,626.12,626.33,626.22,523639
2025-07-10 14:55:00,626.22,626.09,626.32,626.26,667770
2025-07-10 15:00:00,626.26,626.18,626.43,626.36,1032989
2025-07-10 15:05:00,626.35,626.23,626.48,626.47,506579
2025-07-10 15:10:00,626.47,626.36,626.53,626.43,472505
2025-07-10 15:15:00,626.44,626.35,626.54,626.48,521866
2025-07-10 15:20:00,626.47,626.32,626.56,626.34,674846
2025-07-10 15:25:00,626.33,626.12,626.46,626.21,552621
2025-07-10 15:30:00,626.2,626.16,626.44,626.41,668630
2025-07-10 15:35:00,626.41,626.34,626.51,626.47,544250
2025-07-10 15:40:00,626.47,626.46,626.67,626.49,841762
2025-07-10 15:45:00,626.5,626.0,626.51,626.13,1822183
2025-07-10 15:50:00,626.14,625.21,626.14,625.51,2403961
2025-07-10 15:55:00,625.52,625.47,625.97,625.83,3272825
2025-07-11 09:30:00,622.74,622.55,623.51,622.63,3277383
2025-07-11 09:35:00,622.63,621.99,622.68,622.27,972006
2025-07-11 09:40:00,622.26,621.68,622.33,621.83,852243
2025-07-11 09:45:00,621.81,621.53,622.73,622.63,1219121
2025-07-11 09:50:00,622.61,622.49,622.9,622.62,942987
2025-07-11 09:55:00,622.63,622.57,623.32,623.23,955324
2025-07-11 10:00:00,623.23,622.99,623.29,623.21,646826
2025-07-11 10:05:00,623.22,623.06,623.5,623.13,704170
2025-07-11 10:10:00,623.13,623.0,623.65,623.6,589401
2025-07-11 10:15:00,623.57,623.4,623.8,623.73,492323
2025-07-11 10:20:00,623.72,623.62,624.1,624.09,648081
2025-07-11 10:25:00,624.07,623.95,624.26,624.01,614464
2025-07-11 10:30:00,624.01,623.86,624.31,624.26,591365
2025-07-11 10:35:00,624.25,624.04,624.38,624.07,583743
2025-07-11 10:40:00,624.06,623.7,624.06,623.97,739507
2025-07-11 10:45:00,623.97,623.53,623.97,623.81,514503
2025-07-11 10:50:00,623.8,623.25,623.96,623.49,476544
2025-07-11 10:55:00,623.49,623.44,623.91,623.87,505281
2025-07-11 11:00:00,623.85,623.61,623.89,623.7,414284
2025-07-11 11:05:00,623.7,623.36,623.77,623.5,477947
2025-07-11 11:10:00,623.5,622.83,623.62,622.83,883981
2025-07-11 11:15:00,622.83,622.72,623.25,623.23,766238
2025-07-11 11:20:00,623.22,623.22,623.8,623.34,887417
2025-07-11 11:25:00,623.33,622.97,623.45,623.4,549930
2025-07-11 11:30:00,623.4,623.35,623.76,623.73,607709
2025-07-11 11:35:00,623.7,623.69,624.1,624.07,543048
2025-07-11 11:40:00,624.08,624.08,624.63,624.4,995129
2025-07-11 11:45:00,624.42,623.98,624.46,624.0,609815
2025-07-11 11:50:00,624.0,623.5,624.01,623.78,593349
2025-07-11 11:55:00,623.78,623.47,623.81,623.78,506809
2025-07-11 12:00:00,623.81,623.41,624.08,623.41,646814
2025-07-11 12:05:00,623.42,623.15,623.54,623.37,648677
2025-07-11 12:10:00,623.37,623.2,623.46,623.46,2010898
2025-07-11 12:15:00,623.47,623.43,623.92,623.44,484055
2025-07-11 12:20:00,623.46,623.44,623.95,623.82,403641
2025-07-11 12:25:00,623.83,623.74,624.0,623.94,370061
2025-07-11 12:30:00,623.95,623.62,624.09,623.95,356989
2025-07-11 12:35:00,623.95,623.75,624.06,623.96,275258
2025-07-11 12:40:00,623.95,623.59,624.05,623.62,306975
2025-07-11 12:45:00,623.6,623.56,623.91,623.82,413768
2025-07-11 12:50:00,623.83,623.83,624.19,624.18,394488
2025-07-11 12:55:00,624.18,624.18,624.43,624.34,645021
2025-07-11 13:00:00,624.35,624.12,624.45,624.38,609310
2025-07-11 13:05:00,624.37,624.26,624.58,624.46,449430
2025-07-11 13:10:00,624.46,624.3,624.49,624.41,398256
2025-07-11 13:15:00,624.39,624.27,624.53,624.52,490042
2025-07-11 13:20:00,624.51,624.27,624.58,624.29,261738
2025-07-11 13:25:00,624.28,624.23,624.58,624.45,534811
2025-07-11 13:30:00,624.45,624.28,624.58,624.42,334764
2025-07-11 13:35:00,624.43,623.83,624.49,623.94,704145
2025-07-11 13:40:00,623.95,623.77,624.16,623.95,638771
2025-07-11 13:45:00,623.95,623.92,624.2,624.17,629481
2025-07-11 13:50:00,624.16,624.09,624.39,624.34,344546
2025-07-11 13:55:00,624.35,624.34,624.55,624.5,482952
2025-07-11 14:00:00,624.46,624.32,624.69,624.41,683478
2025-07-11 14:05:00,624.39,624.33,624.64,624.42,434045
2025-07-11 14:10:00,624.41,624.22,624.61,624.44,391203
2025-07-11 14:15:00,624.44,624.26,624.5,624.3,328333
2025-07-11 14:20:00,624.29,624.2,624.47,624.37,475643
2025-07-11 14:25:00,624.37,623.89,624.51,624.27,696170
2025-07-11 14:30:00,624.27,624.18,624.57,624.51,419425
2025-07-11 14:35:00,624.52,624.52,624.78,624.58,697465
2025-07-11 14:40:00,624.59,624.59,624.82,624.82,405544
2025-07-11 14:45:00,624.82,624.62,624.86,624.69,638943
2025-07-11 14:50:00,624.7,624.46,624.79,624.55,471095
2025-07-11 14:55:00,624.53,624.22,624.58,624.36,714654
2025-07-11 15:00:00,624.33,623.59,624.35,623.85,1257440
2025-07-11 15:05:00,623.86,623.13,624.11,624.07,1850407
2025-07-11 15:10:00,624.08,623.74,624.19,624.13,868093
2025-07-11 15:15:00,624.13,624.04,624.38,624.28,662618
2025-07-11 15:20:00,624.29,624.28,624.52,624.5,573415
2025-07-11 15:25:00,624.49,624.44,624.72,624.45,1068666
2025-07-11 15:30:00,624.45,624.23,624.55,624.48,823796
2025-07-11 15:35:00,624.47,624.36,624.58,624.45,906453
2025-07-11 15:40:00,624.45,624.13,624.55,624.22,1394573
2025-07-11 15:45:00,624.21,624.05,624.47,624.44,1244978
2025-07-11 15:50:00,624.43,623.67,624.45,623.87,1954459
